source_file	type	variable-data_type	variable-name	variable-shape	variable-FillValue	variable-Flag	variable-long_name	variable-unit	variable-flags	variable-missing_value
Blodget_grid_20240622.nc.cdl	grid	float	AEC	ntopou,nlevs	-999.9		Anion exchange capacity	cmol kg soil-1		
Blodget_grid_20240622.nc.cdl	grid	float	ALATG	ngrid			Latitude	degrees north		
Blodget_grid_20240622.nc.cdl	grid	float	ALBS	ntopou			Wet soil albedo	none		
Blodget_grid_20240622.nc.cdl	grid	float	ALTIG	ngrid			Altitude above sea-level	m		
Blodget_grid_20240622.nc.cdl	grid	float	ASPX	ntopou			Aspect	degrees		
Blodget_grid_20240622.nc.cdl	grid	float	ATCAG	ngrid			Mean annual temperaure	oC		
Blodget_grid_20240622.nc.cdl	grid	float	BKDSI	ntopou,nlevs	-999.9		Initial bulk density	Mg m-3	0 for water	
Blodget_grid_20240622.nc.cdl	grid	float	CAL	ntopou,nlevs	-999.9		Soluble soil Al content	g Al/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CALOH	ntopou,nlevs	-999.9		Soil Al(OH)3 content	g Al/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CALPO	ntopou,nlevs	-999.9		Soil AlPO4 content	g P/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCA	ntopou,nlevs	-999.9		Soluble soil Ca content	g Ca/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCACO	ntopou,nlevs	-999.9		Soil CaCO3 content	g Ca/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCAPD	ntopou,nlevs	-999.9		Soil CaHPO4 content	g P/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCAPH	ntopou,nlevs	-999.9		Soil apatite content	g P/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCASO	ntopou,nlevs	-999.9		Soil CaSO4 content	g Ca/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CCL	ntopou,nlevs	-999.9		Soluble soil Cl content	g Cl/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CDPTH	ntopou,nlevs	-999.9		Depth to bottom of soil layer	m		
Blodget_grid_20240622.nc.cdl	grid	float	CEC	ntopou,nlevs	-999.9		Cation exchange capacity	cmol kg soil-1		
Blodget_grid_20240622.nc.cdl	grid	float	CFE	ntopou,nlevs	-999.9		Soluble soil Fe content	g Fe/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CFEOH	ntopou,nlevs	-999.9		Soil Fe(OH)3 content	g Fe/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CFEPO	ntopou,nlevs	-999.9		Soil FePO4 content	g P/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CH4EG	ngrid		0	Atmospheric CH4	ppm		
Blodget_grid_20240622.nc.cdl	grid	float	CKA	ntopou,nlevs	-999.9		Soluble soil K content	g K/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CMG	ntopou,nlevs	-999.9		Soluble soil MG content	g MG/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CNA	ntopou,nlevs	-999.9		Soluble soil Na content	g Na/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CNH4	ntopou,nlevs	-999.9		Total soil NH4 concentration	gN/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CNO3	ntopou,nlevs	-999.9		Total soil NO3 concentration	gN/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CO2EIG	ngrid		0	Atmospheric CO2	ppm		
Blodget_grid_20240622.nc.cdl	grid	float	CORGC	ntopou,nlevs	-999.9		Total soil organic carbon	kg C/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CORGN	ntopou,nlevs	-999.9		Total soil organic nitrogen	g N/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CORGP	ntopou,nlevs	-999.9		Total soil organic phosphorus	g P/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CORGR	ntopou,nlevs	-999.9		POC (part of SOC)	kg C/Mg soil		
Blodget_grid_20240622.nc.cdl	grid	float	CPO4	ntopou,nlevs	-999.9		Total soil H2PO4 concentration	gP/Mg soil		
